"","business_id","weighted_sentiment","price_score","service_score","atmosphere_score"
"188","Ss6f5v_t5Vddiaz4ZOxL0g",0.005,0.147,1.37,0.857
"189","SsHMgOW3TT48Z7jeV5beqQ",-0.018,0.284,0.758,0.078
"190","TUtf4FLtotdQDleYpRIfnw",-0.013,0,0.021,0
"191","TVX2a4bVuCE2VUIkiLdZrQ",-0.015,0.134,0.139,0.065
"192","TzNk1TcWLZn0JCpO83hBAA",0.034,0.21,1.994,1.646
"193","U1Gc3wKN5viu_e68KJVOdQ",-0.008,0,0.271,0.176
"194","U2hkeMI-q4cS35QolJYN0A",0.005,-0.02,1.412,0.009
"195","U3grYFIeu6RgAAQgdriHww",-0.005,0.263,1.357,0.465
"196","UA3HxLprLSOO9J6l1iR2Cg",-0.027,0.039,0.176,0.078
"197","UFpCraqzFBAhtZqmxmiWsA",0.074,0,0,0
"198","UjgqSqa4Biy34pHSEdwj_g",-0.009,0.035,0.655,0
"199","Un-UDVOuv1co3TMmGaumxA",-0.016,0,0.321,0.1
"200","UuRZpgZsHX7PyykHV3wbZg",-0.008,-0.061,0.292,0.202
"201","V2cQOeZwPBmjpln6_p1Ygw",0.015,0.064,0.259,0
"202","VAIOtbsxdNmuhUKkQZFRlA",0,0,0.241,0.214
"203","VOcGcN0bvGU_nzxbJgR5jQ",-0.001,0,0.535,0.546
"204","VZhRxX3BzU09qK4UlXrN4g",0.028,-0.055,0.64,0
"205","VeFfrEZ4iWaecrQg6Eq4cg",-0.016,0.23,0.092,0.189
"206","VgAKmXE8B7J0I_O_R13UKQ",0.002,0,0.495,0.21
"207","VqcHpG3ODZ4KHBhbxcL4-Q",-0.01,0.175,0.235,0
"208","W7gSJz80DywKnPRIGjA2Bw",-0.044,0.148,-0.116,0.116
"209","WUGRmrfSzQCyeG6mYAM-vw",0.007,0,-0.066,0
"210","WVNkMz4sEl35swjVtKHOFw",0.05,0.39,0.526,0.217
"211","WrU1ZYN4jlYcL5mvJrQsCQ",0.043,0,0.541,0.114
"212","XHxAIQR-QAz6j1RMaz_J1A",-0.026,0.142,0.217,0
"213","XgehM3pBZWuXi45J2dqRJQ",0.019,0.036,0.401,0.59
"214","Xw_5QkLTyIEg6Hs-kXGNbg",-0.035,0,0.185,0.038
"215","XwnkfMUiyH-OsJXbmbOK5g",-0.044,0.11,-0.002,0
"216","XyYsl2OyoMi6OMvzsdcVoQ",0.001,0,0.581,0.206
"217","Y57sylYCgq2VQJuBCnjPfA",0.016,0.133,1.96,0.338
"218","YGgGefpPTFhgthvQvMAGoQ",-0.004,0.129,0.953,0
"219","YXKot5TH9MhC4khAn0JC3w",0.013,0.058,0.216,0.234
"220","YXaCcpETNtxrNNK6TbUTlw",0.009,0.275,0.487,0.109
"221","YgbIbmfDlB-bZSsjuIfKwA",-0.034,0.044,-0.094,0.393
"222","YrNtBUOUOYwmRZ_UVwH8iQ",-0.022,0.032,0.142,0.113
"223","YxWiv24PHCseiVvGlqKFrQ",-0.008,0.316,0.494,0.039
"224","Z0mBsgDzDnFAEC5o4X6G9g",-0.031,0,0.394,0.486
"225","ZYqNIWch6Ik9wLZCa1hxkw",0.002,0.126,0.452,0
"226","ZrxlfdFU_qpnIHI2DmoRxA",-0.033,0,0.728,0
"227","_T8tOBDr3NKNxd0yl5GwjA",-0.057,0,-0.063,0
"228","_ecVi-tVoaKHKYxNkxFj7w",0.013,-0.085,0.845,0
"229","_vLfidpLDYHfZ_KnFZ75Lg",-0.06,0,0,-0.023
"230","aFhPwy7OhyKah4cJY2QdEQ",0.065,-0.122,0.348,1.953
"231","aY_n9RSaD2Yw09jSFFePew",-0.053,0,0.212,0.116
"232","b1shfPbHpkeWtbGbz5iAtg",-0.035,0.084,-0.017,0.059
"233","b2Za53CjptGyf9K0fFnrAg",-0.03,0.151,0.299,0.277
"234","b5hxsRw76UUXcotxlCipuQ",-0.003,0.087,0.272,0.346
"235","bBA62rVklEG2WUnvi8RtrQ",-0.002,0,-0.03,0
"236","bFWH7wlto7jjjwce5ZV--A",0.011,0,0.127,0
"237","bLnC1_-Kd_Z5qhHNQXCUfQ",-0.003,0.238,0.027,0.018
"238","bPVPZeqMuYtU_yGCb4P-jg",-0.005,0.062,0.529,0.049
"239","bXrQejeR66IwebuhxPS7GA",0.011,0,0.937,0.11
"240","bbEXAEFr4RYHLlZ-HFssTA",-0.011,0.127,0.416,0
